timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1693943431662,495,HTTP Request,200,OK,Business Administrators 1-1,text,false,One or more sub-samples failed,71934,266,1,2,https://www.pavanonlinetrainings.com/,233,0,29
1693943431662,233,HTTP Request-0,301,Moved Permanently,Business Administrators 1-1,text,false,Test failed: headers expected to contain /HTTP/1.1 200 OK/,694,133,1,2,http://www.pavanonlinetrainings.com/,233,0,29
1693943431895,262,HTTP Request-1,200,OK,Business Administrators 1-1,text,true,,71240,133,1,2,https://www.pavanonlinetrainings.com/,252,0,28
1693943435654,394,HTTP Request,200,OK,Business Administrators 1-2,text,false,One or more sub-samples failed,71934,266,1,3,https://www.pavanonlinetrainings.com/,187,0,5
1693943435654,187,HTTP Request-0,301,Moved Permanently,Business Administrators 1-2,text,false,Test failed: headers expected to contain /HTTP/1.1 200 OK/,694,133,1,3,http://www.pavanonlinetrainings.com/,187,0,5
1693943435841,207,HTTP Request-1,200,OK,Business Administrators 1-2,text,true,,71240,133,1,3,https://www.pavanonlinetrainings.com/,195,0,37
1693943439652,397,HTTP Request,200,OK,Business Administrators 1-3,text,false,One or more sub-samples failed,71934,266,1,4,https://www.pavanonlinetrainings.com/,187,0,6
1693943439652,187,HTTP Request-0,301,Moved Permanently,Business Administrators 1-3,text,false,Test failed: headers expected to contain /HTTP/1.1 200 OK/,694,133,1,4,http://www.pavanonlinetrainings.com/,187,0,6
1693943439840,209,HTTP Request-1,200,OK,Business Administrators 1-3,text,true,,71240,133,1,4,https://www.pavanonlinetrainings.com/,196,0,42
1693943443653,405,HTTP Request,200,OK,Business Administrators 1-4,text,false,One or more sub-samples failed,72260,266,1,5,https://www.pavanonlinetrainings.com/,180,0,7
1693943443653,180,HTTP Request-0,301,Moved Permanently,Business Administrators 1-4,text,false,Test failed: headers expected to contain /HTTP/1.1 200 OK/,694,133,1,5,http://www.pavanonlinetrainings.com/,180,0,7
1693943443834,224,HTTP Request-1,200,OK,Business Administrators 1-4,text,true,,71566,133,1,5,https://www.pavanonlinetrainings.com/,201,0,41
1693943445128,558,HTTP Request1,200,OK,Credit Managers 2-3,text,false,Test failed: message expected not to contain /OK/,636432,1325,4,5,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7UI43_cAcIVx3tJ62RYl2VdDvimQg6DG364HQ6h-1kTvhYiQTc4LqVnMHALTaCcNX1XfbDHYA&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-2113173252%3A1693943445839326,15,0,9
1693943445128,15,HTTP Request1-0,301,Moved Permanently,Credit Managers 2-3,text,false,Test failed: message expected to contain /Found/,606,114,4,5,http://gmail.com/,15,0,9
1693943445144,254,HTTP Request1-1,302,Moved Temporarily,Credit Managers 2-3,text,false,Test failed: message expected to contain /Found/,1252,129,4,5,https://mail.google.com/mail/u/0/,254,0,31
1693943445399,47,HTTP Request1-2,302,Found,Credit Managers 2-3,text,true,,1651,264,4,5,https://accounts.google.com/ServiceLogin?service=mail&passive=1209600&osid=1&continue=https://mail.google.com/mail/u/0/&followup=https://mail.google.com/mail/u/0/&emr=1,47,0,29
1693943445446,51,HTTP Request1-3,302,Moved Temporarily,Credit Managers 2-3,text,false,Test failed: message expected to contain /Found/,2065,352,4,5,https://accounts.google.com/InteractiveLogin?continue=https://mail.google.com/mail/u/0/&emr=1&followup=https://mail.google.com/mail/u/0/&osid=1&passive=1209600&service=mail&ifkv=AXo7B7WR0Vp4M_JxQPYD3ZnHdJMYjklgx2AJh2NmSRcpJz0NmgQlA_dGbPl6cbz1OAkIZc1TkRdUEw,51,0,0
1693943445497,189,HTTP Request1-4,200,OK,Credit Managers 2-3,text,false,Test failed: message expected to contain /Found/,630858,466,4,5,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7UI43_cAcIVx3tJ62RYl2VdDvimQg6DG364HQ6h-1kTvhYiQTc4LqVnMHALTaCcNX1XfbDHYA&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-2113173252%3A1693943445839326,111,0,0
1693943438655,558,Transaction1,,"Number of samples in transaction : 1, number of failing samples : 1",Credit Managers 2-3,,false,,636432,1325,4,5,null,15,6474,9
1693943445687,297,HTTP Request2,200,OK,Credit Managers 2-3,text,false,Test failed: message expected not to contain /OK/,636189,1321,4,5,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7U8Uw5Wh6yClMnFAV6S0ebYm-t26Q_klMud5UT9BUkF_iUvixhUm9f9gHm7xhSDjsM-fXiE&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1291629337%3A1693943446130957,5,0,0
1693943445687,5,HTTP Request2-0,301,Moved Permanently,Credit Managers 2-3,text,false,Test failed: message expected to contain /Found/,606,114,4,5,http://gmail.com/,5,0,0
1693943445693,25,HTTP Request2-1,302,Moved Temporarily,Credit Managers 2-3,text,false,Test failed: message expected to contain /Found/,1252,129,4,5,https://mail.google.com/mail/u/0/,25,0,0
1693943445718,17,HTTP Request2-2,302,Found,Credit Managers 2-3,text,true,,1649,264,4,5,https://accounts.google.com/ServiceLogin?service=mail&passive=1209600&osid=1&continue=https://mail.google.com/mail/u/0/&followup=https://mail.google.com/mail/u/0/&emr=1,17,0,0
1693943445735,54,HTTP Request2-3,302,Moved Temporarily,Credit Managers 2-3,text,false,Test failed: message expected to contain /Found/,2061,350,4,5,https://accounts.google.com/InteractiveLogin?continue=https://mail.google.com/mail/u/0/&emr=1&followup=https://mail.google.com/mail/u/0/&osid=1&passive=1209600&service=mail&ifkv=AXo7B7UXR7rA3ELbToqzMHR41Lww-xbJvP8WNbWH39t442htjc11wA8PxnPehQ_kfFDTLCuRwSvK,54,0,0
1693943445789,195,HTTP Request2-4,200,OK,Credit Managers 2-3,text,false,Test failed: message expected to contain /Found/,630621,464,4,5,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7U8Uw5Wh6yClMnFAV6S0ebYm-t26Q_klMud5UT9BUkF_iUvixhUm9f9gHm7xhSDjsM-fXiE&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1291629337%3A1693943446130957,120,0,0
1693943445985,281,HTTP Request3,200,OK,Credit Managers 2-3,text,false,Test failed: message expected not to contain /OK/,635840,1325,4,5,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7VwPskcyW2_lLquu7uJFdOuKVLVhIHPPOCFQx4ngDGUtiRPeaMiXBQ5aPJyDeTP004bMzo_mw&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1677129753%3A1693943446434012,7,0,0
1693943445985,7,HTTP Request3-0,301,Moved Permanently,Credit Managers 2-3,text,false,Test failed: message expected to contain /Found/,606,114,4,5,http://gmail.com/,7,0,0
1693943445992,27,HTTP Request3-1,302,Moved Temporarily,Credit Managers 2-3,text,false,Test failed: message expected to contain /Found/,1252,129,4,5,https://mail.google.com/mail/u/0/,27,0,0
1693943446019,18,HTTP Request3-2,302,Found,Credit Managers 2-3,text,true,,1651,264,4,5,https://accounts.google.com/ServiceLogin?service=mail&passive=1209600&osid=1&continue=https://mail.google.com/mail/u/0/&followup=https://mail.google.com/mail/u/0/&emr=1,18,0,0
1693943446037,59,HTTP Request3-3,302,Moved Temporarily,Credit Managers 2-3,text,false,Test failed: message expected to contain /Found/,2065,352,4,5,https://accounts.google.com/InteractiveLogin?continue=https://mail.google.com/mail/u/0/&emr=1&followup=https://mail.google.com/mail/u/0/&osid=1&passive=1209600&service=mail&ifkv=AXo7B7WaL5sw2CoSA3EVrRLcjCdM-mINidqrfsczW0Qo1WkRHBe4sTiSvfRm8ReYgAxek-S98UhErg,59,0,0
1693943446096,170,HTTP Request3-4,200,OK,Credit Managers 2-3,text,false,Test failed: message expected to contain /Found/,630266,466,4,5,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7VwPskcyW2_lLquu7uJFdOuKVLVhIHPPOCFQx4ngDGUtiRPeaMiXBQ5aPJyDeTP004bMzo_mw&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1677129753%3A1693943446434012,100,0,0
1693943445687,578,Transaction2,,"Number of samples in transaction : 2, number of failing samples : 2",Credit Managers 2-3,,false,,1272029,2646,4,5,null,12,2,0
1693943447657,378,HTTP Request,200,OK,Business Administrators 1-5,text,false,One or more sub-samples failed,71934,266,1,4,https://www.pavanonlinetrainings.com/,182,0,8
1693943447657,182,HTTP Request-0,301,Moved Permanently,Business Administrators 1-5,text,false,Test failed: headers expected to contain /HTTP/1.1 200 OK/,694,133,1,4,http://www.pavanonlinetrainings.com/,182,0,8
1693943447840,195,HTTP Request-1,200,OK,Business Administrators 1-5,text,true,,71240,133,1,4,https://www.pavanonlinetrainings.com/,184,0,29
1693943451617,306,HTTP Request1,200,OK,Credit Managers 2-1,text,false,Test failed: message expected not to contain /OK/,635831,1319,4,4,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7UMzbbLDsg04cotlELLB1-yTB9Ah6o_pxBhGpj5nL0qr1UM9wJmPTu0erIn8GR5R0s_NodI&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S588105200%3A1693943452118267,11,0,5
1693943451617,11,HTTP Request1-0,301,Moved Permanently,Credit Managers 2-1,text,false,Test failed: message expected to contain /Found/,606,114,4,4,http://gmail.com/,11,0,5
1693943451629,49,HTTP Request1-1,302,Moved Temporarily,Credit Managers 2-1,text,false,Test failed: message expected to contain /Found/,1252,129,4,4,https://mail.google.com/mail/u/0/,49,0,26
1693943451678,40,HTTP Request1-2,302,Found,Credit Managers 2-1,text,true,,1649,264,4,4,https://accounts.google.com/ServiceLogin?service=mail&passive=1209600&osid=1&continue=https://mail.google.com/mail/u/0/&followup=https://mail.google.com/mail/u/0/&emr=1,40,0,26
1693943451719,58,HTTP Request1-3,302,Moved Temporarily,Credit Managers 2-1,text,false,Test failed: message expected to contain /Found/,2057,350,4,4,https://accounts.google.com/InteractiveLogin?continue=https://mail.google.com/mail/u/0/&emr=1&followup=https://mail.google.com/mail/u/0/&osid=1&passive=1209600&service=mail&ifkv=AXo7B7WDtrOYMkq7N0tIXyIcF6zOXs2FEKPlqlF7wHrwi7fx6PSUujrX094VOIvVzNG-vaGRNJT4,58,0,0
1693943451777,146,HTTP Request1-4,200,OK,Credit Managers 2-1,text,false,Test failed: message expected to contain /Found/,630267,462,4,4,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7UMzbbLDsg04cotlELLB1-yTB9Ah6o_pxBhGpj5nL0qr1UM9wJmPTu0erIn8GR5R0s_NodI&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S588105200%3A1693943452118267,86,0,0
1693943428653,306,Transaction1,,"Number of samples in transaction : 1, number of failing samples : 1",Credit Managers 2-1,,false,,635831,1319,4,4,null,11,22966,5
1693943451925,311,HTTP Request2,200,OK,Credit Managers 2-1,text,false,Test failed: message expected not to contain /OK/,636409,1324,4,4,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7VyXMvqikvbCuBhE5C58LzK7ts_JvcAhkEtIBJQXm2r6eVX2AhYjCIa3zmAOBEkkqpoYLMp3A&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S1191507729%3A1693943452358670,6,0,0
1693943451925,6,HTTP Request2-0,301,Moved Permanently,Credit Managers 2-1,text,false,Test failed: message expected to contain /Found/,606,114,4,4,http://gmail.com/,6,0,0
1693943451931,21,HTTP Request2-1,302,Moved Temporarily,Credit Managers 2-1,text,false,Test failed: message expected to contain /Found/,1252,129,4,4,https://mail.google.com/mail/u/0/,21,0,0
1693943451952,14,HTTP Request2-2,302,Found,Credit Managers 2-1,text,true,,1651,264,4,4,https://accounts.google.com/ServiceLogin?service=mail&passive=1209600&osid=1&continue=https://mail.google.com/mail/u/0/&followup=https://mail.google.com/mail/u/0/&emr=1,14,0,0
1693943451966,59,HTTP Request2-3,302,Moved Temporarily,Credit Managers 2-1,text,false,Test failed: message expected to contain /Found/,2063,352,4,4,https://accounts.google.com/InteractiveLogin?continue=https://mail.google.com/mail/u/0/&emr=1&followup=https://mail.google.com/mail/u/0/&osid=1&passive=1209600&service=mail&ifkv=AXo7B7XQ9eT5gBhjBbHQTN5n3i7TnpnjH5UK4yHt8dxQzW3mal-J4XBuVdjK220vwSNI4P6CBrqKag,59,0,0
1693943452025,211,HTTP Request2-4,200,OK,Credit Managers 2-1,text,false,Test failed: message expected to contain /Found/,630837,465,4,4,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7VyXMvqikvbCuBhE5C58LzK7ts_JvcAhkEtIBJQXm2r6eVX2AhYjCIa3zmAOBEkkqpoYLMp3A&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S1191507729%3A1693943452358670,128,0,0
1693943452237,237,HTTP Request3,200,OK,Credit Managers 2-1,text,false,Test failed: message expected not to contain /OK/,636424,1324,4,4,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7Xwh-ApFPNWmJsVlWV2gXRGdqRATPp-tdcroTEoU9YmEgkfvYyeDCAX1q2WFyrJdgmTah7rfw&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S1141724098%3A1693943452666352,5,0,0
1693943452237,5,HTTP Request3-0,301,Moved Permanently,Credit Managers 2-1,text,false,Test failed: message expected to contain /Found/,606,114,4,4,http://gmail.com/,5,0,0
1693943452243,22,HTTP Request3-1,302,Moved Temporarily,Credit Managers 2-1,text,false,Test failed: message expected to contain /Found/,1252,129,4,4,https://mail.google.com/mail/u/0/,22,0,0
1693943452266,12,HTTP Request3-2,302,Found,Credit Managers 2-1,text,true,,1651,264,4,4,https://accounts.google.com/ServiceLogin?service=mail&passive=1209600&osid=1&continue=https://mail.google.com/mail/u/0/&followup=https://mail.google.com/mail/u/0/&emr=1,12,0,0
1693943452278,43,HTTP Request3-3,302,Moved Temporarily,Credit Managers 2-1,text,false,Test failed: message expected to contain /Found/,2063,352,4,4,https://accounts.google.com/InteractiveLogin?continue=https://mail.google.com/mail/u/0/&emr=1&followup=https://mail.google.com/mail/u/0/&osid=1&passive=1209600&service=mail&ifkv=AXo7B7VfA_xwrhWrShKPgLPRSMkeDEPWM1cW0v6pJYimMKxrfidQiCoYIjAj4t5RNCGiF0U9vas5HA,43,0,0
1693943452321,153,HTTP Request3-4,200,OK,Credit Managers 2-1,text,false,Test failed: message expected to contain /Found/,630852,465,4,4,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7Xwh-ApFPNWmJsVlWV2gXRGdqRATPp-tdcroTEoU9YmEgkfvYyeDCAX1q2WFyrJdgmTah7rfw&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S1141724098%3A1693943452666352,94,0,0
1693943451925,548,Transaction2,,"Number of samples in transaction : 2, number of failing samples : 2",Credit Managers 2-1,,false,,1272833,2648,4,4,null,11,2,0
1693943457216,340,HTTP Request1,200,OK,Credit Managers 2-2,text,false,Test failed: message expected not to contain /OK/,637515,1323,4,4,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7W9ZHNeSkitC_EezqGt7Q0CaPO2iEcD_r4UvU2CAbGHckKhhWh6bn_wGtupg6KfrfGFSUZD7Q&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-15818062%3A1693943457727873,12,0,6
1693943457216,12,HTTP Request1-0,301,Moved Permanently,Credit Managers 2-2,text,false,Test failed: message expected to contain /Found/,606,114,4,4,http://gmail.com/,12,0,6
1693943457228,57,HTTP Request1-1,302,Moved Temporarily,Credit Managers 2-2,text,false,Test failed: message expected to contain /Found/,1252,129,4,4,https://mail.google.com/mail/u/0/,57,0,28
1693943457286,42,HTTP Request1-2,302,Found,Credit Managers 2-2,text,true,,1651,264,4,4,https://accounts.google.com/ServiceLogin?service=mail&passive=1209600&osid=1&continue=https://mail.google.com/mail/u/0/&followup=https://mail.google.com/mail/u/0/&emr=1,42,0,27
1693943457329,64,HTTP Request1-3,302,Moved Temporarily,Credit Managers 2-2,text,false,Test failed: message expected to contain /Found/,2061,352,4,4,https://accounts.google.com/InteractiveLogin?continue=https://mail.google.com/mail/u/0/&emr=1&followup=https://mail.google.com/mail/u/0/&osid=1&passive=1209600&service=mail&ifkv=AXo7B7XtPUtRKU1f9ImSFxJW5fsRNvR9-l3jDeYQrJDc5CFIJSUYceiKf3_4cUC-hwShrRfw-uIGIQ,64,0,0
1693943457393,163,HTTP Request1-4,200,OK,Credit Managers 2-2,text,false,Test failed: message expected to contain /Found/,631945,464,4,4,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7W9ZHNeSkitC_EezqGt7Q0CaPO2iEcD_r4UvU2CAbGHckKhhWh6bn_wGtupg6KfrfGFSUZD7Q&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-15818062%3A1693943457727873,88,0,0
1693943433654,340,Transaction1,,"Number of samples in transaction : 1, number of failing samples : 1",Credit Managers 2-2,,false,,637515,1323,4,4,null,12,23564,6
1693943457558,288,HTTP Request2,200,OK,Credit Managers 2-2,text,false,Test failed: message expected not to contain /OK/,636097,1322,4,4,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7UhnjbitjvU9g08mt6uM71CpR8OT5eAtnJCwK2mt_3idsd2GdnkS4R06XOwJEoGkY1FPwvj&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S2047586277%3A1693943458012160,6,0,0
1693943457558,6,HTTP Request2-0,301,Moved Permanently,Credit Managers 2-2,text,false,Test failed: message expected to contain /Found/,606,114,4,4,http://gmail.com/,6,0,0
1693943457564,28,HTTP Request2-1,302,Moved Temporarily,Credit Managers 2-2,text,false,Test failed: message expected to contain /Found/,1252,129,4,4,https://mail.google.com/mail/u/0/,28,0,0
1693943457593,26,HTTP Request2-2,302,Found,Credit Managers 2-2,text,true,,1651,264,4,4,https://accounts.google.com/ServiceLogin?service=mail&passive=1209600&osid=1&continue=https://mail.google.com/mail/u/0/&followup=https://mail.google.com/mail/u/0/&emr=1,26,0,0
1693943457619,50,HTTP Request2-3,302,Moved Temporarily,Credit Managers 2-2,text,false,Test failed: message expected to contain /Found/,2059,352,4,4,https://accounts.google.com/InteractiveLogin?continue=https://mail.google.com/mail/u/0/&emr=1&followup=https://mail.google.com/mail/u/0/&osid=1&passive=1209600&service=mail&ifkv=AXo7B7X_B1_QXOYMDoaJM4PcXTjTyH024xQh750jVzrXx0q3feftaYXQye5MGgN5AVUILX9_svnCtg,50,0,0
1693943457669,177,HTTP Request2-4,200,OK,Credit Managers 2-2,text,false,Test failed: message expected to contain /Found/,630529,463,4,4,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7UhnjbitjvU9g08mt6uM71CpR8OT5eAtnJCwK2mt_3idsd2GdnkS4R06XOwJEoGkY1FPwvj&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S2047586277%3A1693943458012160,106,0,0
1693943457847,256,HTTP Request3,200,OK,Credit Managers 2-2,text,false,Test failed: message expected not to contain /OK/,635978,1323,4,4,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7WsKultr8G4JoDK5C21x1eydepNNDaiKQ9Wo6gRShlT89nPV9Y13Umti4v1_99RwX0jZ-tcGg&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1777376222%3A1693943458300225,6,0,0
1693943457847,6,HTTP Request3-0,301,Moved Permanently,Credit Managers 2-2,text,false,Test failed: message expected to contain /Found/,606,114,4,4,http://gmail.com/,6,0,0
1693943457853,23,HTTP Request3-1,302,Moved Temporarily,Credit Managers 2-2,text,false,Test failed: message expected to contain /Found/,1252,129,4,4,https://mail.google.com/mail/u/0/,23,0,0
1693943457876,27,HTTP Request3-2,302,Found,Credit Managers 2-2,text,true,,1649,264,4,4,https://accounts.google.com/ServiceLogin?service=mail&passive=1209600&osid=1&continue=https://mail.google.com/mail/u/0/&followup=https://mail.google.com/mail/u/0/&emr=1,27,0,0
1693943457903,54,HTTP Request3-3,302,Moved Temporarily,Credit Managers 2-2,text,false,Test failed: message expected to contain /Found/,2065,350,4,4,https://accounts.google.com/InteractiveLogin?continue=https://mail.google.com/mail/u/0/&emr=1&followup=https://mail.google.com/mail/u/0/&osid=1&passive=1209600&service=mail&ifkv=AXo7B7W3pVfNI0QRFWVitE_vBn8Q5XBUD75tmQkqr9uBEYHvE8aVEF2qRrptS2cDLuZkcpOk4gJ0,54,0,0
1693943457958,145,HTTP Request3-4,200,OK,Credit Managers 2-2,text,false,Test failed: message expected to contain /Found/,630406,466,4,4,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7WsKultr8G4JoDK5C21x1eydepNNDaiKQ9Wo6gRShlT89nPV9Y13Umti4v1_99RwX0jZ-tcGg&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1777376222%3A1693943458300225,92,0,0
1693943457558,544,Transaction2,,"Number of samples in transaction : 2, number of failing samples : 2",Credit Managers 2-2,,false,,1272075,2645,4,4,null,12,2,0
